,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation
0,0.17835671342685372,0.2807570977917981,0.2181372549019608,0.1,0.12860438292964244,0.22985605118180202,0.16493031203376646,30,3.0,4828,record
0,0.1411764705882353,0.3480278422273782,0.2008704385671242,0.1,0.11132704305420599,0.20392750501127016,0.14402739798450934,30,3.0,4993,record
0,0.07923076923076923,0.29512893982808025,0.1249241964827168,0.1,0.06093569266359855,0.18435878980417464,0.0915962759726247,30,3.0,5105,record
0,0.040625,0.09285714285714286,0.05652173913043478,0.1,0.02854421434277638,0.05566874400767018,0.03773814843400902,30,3.0,5014,record
0,0.10796915167095116,0.0875,0.09666283084004604,0.1,0.08943482346623707,0.0496393657606104,0.06384344842787185,30,3.0,5085,record
0,0.27420634920634923,0.8802547770700637,0.4181543116490167,0.1,0.2806164294861649,0.6486396594159516,0.39175195604792945,30,3.0,4807,record
1,0.1683366733466934,0.26498422712933756,0.20588235294117646,0.2,0.12860438292964244,0.22985605118180202,0.16493031203376646,30,3.0,4828,record
1,0.1312941176470588,0.3236658932714617,0.1868095078674255,0.2,0.11132704305420599,0.20392750501127016,0.14402739798450934,30,3.0,4993,record
1,0.07230769230769231,0.2693409742120344,0.11400848999393572,0.2,0.06093569266359855,0.18435878980417464,0.0915962759726247,30,3.0,5105,record
1,0.040625,0.09285714285714286,0.05652173913043478,0.2,0.02854421434277638,0.05566874400767018,0.03773814843400902,30,3.0,5014,record
1,0.10796915167095116,0.0875,0.09666283084004604,0.2,0.08943482346623707,0.0496393657606104,0.06384344842787185,30,3.0,5085,record
1,0.2646825396825397,0.8496815286624204,0.4036308623298034,0.2,0.2806164294861649,0.6486396594159516,0.39175195604792945,30,3.0,4807,record
2,0.15151515151515152,0.2996845425867508,0.20127118644067798,0.3,0.12050403128470043,0.26614537053492093,0.16589494206526795,30,2.5,4828,record
2,0.11160896130346232,0.31786542923433875,0.1652095266807356,0.3,0.10841148273485476,0.2328805862146404,0.1479491142551421,30,2.5,4993,record
2,0.060307692307692305,0.2808022922636103,0.09929078014184398,0.3,0.05554514012347674,0.21324861631629893,0.08813392417528312,30,2.5,5105,record
2,0.03208556149732621,0.08571428571428572,0.04669260700389105,0.3,0.03140690376569038,0.07196788111217642,0.04372997378386251,30,2.5,5014,record
2,0.08496732026143791,0.08125,0.08306709265175719,0.3,0.08827349373720475,0.059757987601335244,0.07126925025104194,30,2.5,5085,record
2,0.23076923076923078,0.8292993630573249,0.3610648918469218,0.3,0.25647858237292653,0.6722710037916584,0.3713016222918748,30,2.5,4807,record
3,0.11961722488038277,0.23659305993690852,0.15889830508474576,0.4,0.12050403128470043,0.26614537053492093,0.16589494206526795,30,2.5,4828,record
3,0.08635437881873727,0.2459396751740139,0.12782634911064214,0.4,0.10841148273485476,0.2328805862146404,0.1479491142551421,30,2.5,4993,record
3,0.05046153846153846,0.2349570200573066,0.08308004052684903,0.4,0.05554514012347674,0.21324861631629893,0.08813392417528312,30,2.5,5105,record
3,0.0213903743315508,0.05714285714285714,0.0311284046692607,0.4,0.03140690376569038,0.07196788111217642,0.04372997378386251,30,2.5,5014,record
3,0.05664488017429194,0.05416666666666667,0.055378061767838126,0.4,0.08827349373720475,0.059757987601335244,0.07126925025104194,30,2.5,5085,record
3,0.2087912087912088,0.7503184713375797,0.32667775929007214,0.4,0.25647858237292653,0.6722710037916584,0.3713016222918748,30,2.5,4807,record
4,0.08961038961038961,0.21766561514195584,0.1269549218031279,0.5,0.11041974673780292,0.30527812333392573,0.16217900302114804,30,2.0,4828,record
4,0.05861705861705862,0.1937354988399072,0.09000269469145783,0.5,0.10519031141868512,0.2680218582871021,0.1510845842056033,30,2.0,4993,record
4,0.03395669291338583,0.1977077363896848,0.05795884082318354,0.5,0.04917917530846838,0.2430567620560423,0.08180603124216858,30,2.0,5105,record
4,0.015418502202643172,0.05,0.02356902356902357,0.5,0.032116727112639146,0.09180249280920422,0.04758576775536194,30,2.0,5014,record
4,0.044802867383512544,0.052083333333333336,0.04816955684007707,0.5,0.09295426452410384,0.07844539818788746,0.08508574846040699,30,2.0,5085,record
4,0.15694789081885857,0.6445859872611465,0.2524320279371415,0.5,0.2303453755839601,0.699028803299408,0.34650855575408723,30,2.0,4807,record
5,0.06256306760847628,0.19558359621451105,0.09480122324159021,0.6,0.10316851986422051,0.3683668029145193,0.1611919870598482,30,1.5,4828,record
5,0.03666361136571952,0.13921113689095127,0.058041112454655375,0.6,0.10323956368408103,0.3141005913714661,0.15540133204668954,30,1.5,4993,record
5,0.014908256880733946,0.11174785100286533,0.026306913996627324,0.6,0.04278939141032774,0.2805837531955027,0.07425482442888483,30,1.5,5105,record
5,0.0071174377224199285,0.02857142857142857,0.011396011396011395,0.6,0.03084652097462949,0.11037871524448706,0.04821800191091973,30,1.5,5014,record
5,0.03310344827586207,0.05,0.03983402489626556,0.6,0.10125202690129988,0.11352527420123987,0.10703797895210128,30,1.5,5085,record
5,0.0988296488946684,0.4840764331210191,0.16414686825053995,0.6,0.19937683400835424,0.7310583383223574,0.31330736692811245,30,1.5,4807,record
6,0.03597122302158273,0.15772870662460567,0.05858230814294083,0.7,0.08661103934643717,0.44087435578460993,0.14477969069156696,30,1.0,4828,record
6,0.02225031605562579,0.10208816705336426,0.036537263857172514,0.7,0.09744451283219471,0.37002719809696494,0.15426439380279344,30,1.0,4993,record
6,0.006234060640408047,0.06303724928366762,0.011346054667354307,0.7,0.03814779981836947,0.3513439725993398,0.06882301749745973,30,1.0,5105,record
6,0.0075282308657465494,0.04285714285714286,0.012806830309498399,0.7,0.03385361239210122,0.17156040268456377,0.05654861838076992,30,1.0,5014,record
6,0.02028397565922921,0.041666666666666664,0.027285129604365622,0.7,0.10679949032781189,0.16487839771101573,0.12963093145869944,30,1.0,5085,record
6,0.04890631448617416,0.3019108280254777,0.08417687799680341,0.7,0.16332980966900573,0.7669876272201157,0.26931010471272976,30,1.0,4807,record
7,0.028254288597376387,0.08832807570977919,0.04281345565749236,0.8,0.10316851986422051,0.3683668029145193,0.1611919870598482,30,1.5,4828,record
7,0.01008249312557287,0.0382830626450116,0.015961305925030228,0.8,0.10323956368408103,0.3141005913714661,0.15540133204668954,30,1.5,4993,record
7,0.0034403669724770644,0.025787965616045846,0.006070826306913997,0.8,0.04278939141032774,0.2805837531955027,0.07425482442888483,30,1.5,5105,record
7,0.0017793594306049821,0.007142857142857143,0.0028490028490028487,0.8,0.03084652097462949,0.11037871524448706,0.04821800191091973,30,1.5,5014,record
7,0.002758620689655172,0.004166666666666667,0.003319502074688796,0.8,0.10125202690129988,0.11352527420123987,0.10703797895210128,30,1.5,5085,record
7,0.030429128738621587,0.14904458598726114,0.05053995680345573,0.8,0.19937683400835424,0.7310583383223574,0.31330736692811245,30,1.5,4807,record
8,0.0057553956834532375,0.025236593059936908,0.009373169302870533,0.9,0.08661103934643717,0.44087435578460993,0.14477969069156696,30,1.0,4828,record
8,0.0032869785082174463,0.015081206496519721,0.005397550342536848,0.9,0.09744451283219471,0.37002719809696494,0.15426439380279344,30,1.0,4993,record
8,0.001700198356474922,0.017191977077363897,0.0030943785456420832,0.9,0.03814779981836947,0.3513439725993398,0.06882301749745973,30,1.0,5105,record
8,0.0012547051442910915,0.007142857142857143,0.002134471718249733,0.9,0.03385361239210122,0.17156040268456377,0.05654861838076992,30,1.0,5014,record
8,0.0030425963488843813,0.00625,0.004092769440654843,0.9,0.10679949032781189,0.16487839771101573,0.12963093145869944,30,1.0,5085,record
8,0.008873297565002063,0.05477707006369427,0.015272598117563487,0.9,0.16332980966900573,0.7669876272201157,0.26931010471272976,30,1.0,4807,record
0,0.31785480706344016,0.5955882352941176,0.414498933901919,0.1,0.3149843860805952,0.4457267101521994,0.36912030034079935,30,3.0,5269,record
0,0.059961315280464215,0.08222811671087533,0.06935123042505593,0.1,0.047610664475871915,0.04962789275155469,0.04859835476399649,30,3.0,5572,record
0,0.20614035087719298,0.4069264069264069,0.27365356622998543,0.1,0.1770656230284755,0.26828794089531927,0.2133341922185004,30,3.0,6096,record
0,0.28389339513325607,0.2976913730255164,0.29062870699881377,0.1,0.24094463446175415,0.2059121237786362,0.2220551462193485,30,3.0,5176,record
0,0.26917057902973396,0.42574257425742573,0.32981783317353786,0.1,0.20878253211454947,0.3013368397983783,0.24666331802525834,30,3.0,5541,record
0,0.01639344262295082,0.041666666666666664,0.023529411764705885,0.1,0.011958004250325118,0.021793167235100296,0.015442592061606522,30,3.0,5218,record
1,0.302812295618051,0.5674019607843137,0.3948827292110874,0.2,0.3149843860805952,0.4457267101521994,0.36912030034079935,30,3.0,5269,record
1,0.058027079303675046,0.07957559681697612,0.06711409395973154,0.2,0.047610664475871915,0.04962789275155469,0.04859835476399649,30,3.0,5572,record
1,0.19846491228070176,0.3917748917748918,0.2634643377001456,0.2,0.1770656230284755,0.26828794089531927,0.2133341922185004,30,3.0,6096,record
1,0.2746234067207416,0.28797083839611176,0.2811387900355872,0.2,0.24094463446175415,0.2059121237786362,0.2220551462193485,30,3.0,5176,record
1,0.25508607198748046,0.4034653465346535,0.31255992329817833,0.2,0.20878253211454947,0.3013368397983783,0.24666331802525834,30,3.0,5541,record
1,0.01366120218579235,0.034722222222222224,0.0196078431372549,0.2,0.011958004250325118,0.021793167235100296,0.015442592061606522,30,3.0,5218,record
2,0.2536723163841808,0.5502450980392157,0.3472544470224285,0.3,0.28812224238779277,0.4765362980959675,0.35911638860327044,30,2.5,5269,record
2,0.05555555555555555,0.08488063660477453,0.06715634837355718,0.3,0.047353429859957274,0.05694770109083495,0.051709294898497606,30,2.5,5572,record
2,0.1806883365200765,0.4090909090909091,0.25066312997347484,0.3,0.17566706969274645,0.30837154291084073,0.22382811581249856,30,2.5,6096,record
2,0.2325809617271835,0.28797083839611176,0.25732899022801303,0.3,0.22588469745158823,0.23180606911937862,0.22880707942948608,30,2.5,5176,record
2,0.22795115332428764,0.4158415841584158,0.29447852760736193,0.3,0.20082155465438273,0.3353495507341661,0.2512086811626323,30,2.5,5541,record
2,0.009881422924901186,0.034722222222222224,0.015384615384615385,0.3,0.011387819787185872,0.02907682525001445,0.016365973092127742,30,2.5,5218,record
3,0.19081439393939395,0.49387254901960786,0.27527322404371585,0.4,0.256534865859795,0.511606411915388,0.341720686157781,30,2.0,5269,record
3,0.03519061583577713,0.0636604774535809,0.0453257790368272,0.4,0.04819497377192119,0.0698746049546335,0.057044410413476264,30,2.0,5572,record
3,0.14760746147607462,0.3939393939393939,0.21474926253687315,0.4,0.1691498685363716,0.356475105717665,0.22943246695690708,30,2.0,6096,record
3,0.18359057676685622,0.27460510328068044,0.2200584225900682,0.4,0.2050640952551594,0.2600652771178913,0.22931276297335204,30,2.0,5176,record
3,0.17042889390519186,0.37376237623762376,0.2341085271317829,0.4,0.1827058246608184,0.3674337058952444,0.24405546053349828,30,2.0,5541,record
3,0.00801068090787717,0.041666666666666664,0.01343784994400896,0.4,0.012132552664936319,0.04647667495230938,0.019242045304964876,30,2.0,5218,record
4,0.16619318181818182,0.43014705882352944,0.2397540983606557,0.5,0.256534865859795,0.511606411915388,0.341720686157781,30,2.0,5269,record
4,0.021994134897360705,0.03978779840848806,0.028328611898016998,0.5,0.04819497377192119,0.0698746049546335,0.057044410413476264,30,2.0,5572,record
4,0.1151662611516626,0.30735930735930733,0.16755162241887903,0.5,0.1691498685363716,0.356475105717665,0.22943246695690708,30,2.0,6096,record
4,0.1462225832656377,0.2187120291616039,0.17526777020447906,0.5,0.2050640952551594,0.2600652771178913,0.22931276297335204,30,2.0,5176,record
4,0.14446952595936793,0.31683168316831684,0.19844961240310077,0.5,0.1827058246608184,0.3674337058952444,0.24405546053349828,30,2.0,5541,record
4,0.00801068090787717,0.041666666666666664,0.01343784994400896,0.5,0.012132552664936319,0.04647667495230938,0.019242045304964876,30,2.0,5218,record
5,0.060256689145094626,0.3394607843137255,0.10234620358396453,0.6,0.15124150674246817,0.638374662194875,0.2445460201416627,20,3.0,5269,record
5,0.03919491525423729,0.09814323607427056,0.05601816805450416,0.6,0.10804334803681316,0.2022632276480783,0.14084906999858016,20,3.0,5572,record
5,0.07078449053201082,0.3398268398268398,0.11716417910447761,0.6,0.1491207150869569,0.5470747395537986,0.23435997987194393,20,3.0,6096,record
5,0.06995110943963896,0.22600243013365734,0.10683515221137277,0.6,0.1548121191539284,0.41434444008345556,0.2254056104173398,20,3.0,5176,record
5,0.044964697138610184,0.2995049504950495,0.07819063004846527,0.6,0.09460474652041492,0.5602454525531448,0.16187481992977656,20,3.0,5541,record
5,0.005811138014527845,0.08333333333333333,0.01086464463558171,0.6,0.012692561041088915,0.1325510145095092,0.023166764331467596,20,3.0,5218,record
6,0.05070028011204482,0.22181372549019607,0.08253533971728226,0.7,0.1817759288627385,0.6265789913821181,0.2817994307002229,30,1.0,5269,record
6,0.008653846153846154,0.023872679045092837,0.012702893436838392,0.7,0.057823650639551714,0.13844428585992455,0.0815757699539259,30,1.0,5572,record
6,0.0466294982260517,0.19913419913419914,0.075564681724846,0.7,0.1354829520654626,0.4777628359877513,0.21110204315393094,30,1.0,6096,record
6,0.05124588622472966,0.1324422843256379,0.07389830508474576,0.7,0.15555081843786994,0.354231651139251,0.21617464914796455,30,1.0,5176,record
6,0.04697986577181208,0.17326732673267325,0.07391763463569168,0.7,0.1390267236430895,0.4777120315581854,0.21537397490366567,30,1.0,5541,record
6,0.0018841262364578427,0.027777777777777776,0.0035288928098809002,0.7,0.008571428571428572,0.09763570148563501,0.015759345739891486,30,1.0,5218,record
7,0.0226890756302521,0.09926470588235294,0.03693570451436388,0.8,0.1817759288627385,0.6265789913821181,0.2817994307002229,30,1.0,5269,record
7,0.004807692307692308,0.013262599469496022,0.007057163020465773,0.8,0.057823650639551714,0.13844428585992455,0.0815757699539259,30,1.0,5572,record
7,0.026862645717181957,0.11471861471861472,0.04353182751540042,0.8,0.1354829520654626,0.4777628359877513,0.21110204315393094,30,1.0,6096,record
7,0.024917724494593323,0.06439854191980558,0.035932203389830504,0.8,0.15555081843786994,0.354231651139251,0.21617464914796455,30,1.0,5176,record
7,0.022818791946308724,0.08415841584158416,0.03590285110876452,0.8,0.1390267236430895,0.4777120315581854,0.21537397490366567,30,1.0,5541,record
7,0.0004710315591144607,0.006944444444444444,0.0008822232024702251,0.8,0.008571428571428572,0.09763570148563501,0.015759345739891486,30,1.0,5218,record
8,0.0067226890756302525,0.029411764705882353,0.010943912448700412,0.9,0.1817759288627385,0.6265789913821181,0.2817994307002229,30,1.0,5269,record
8,0.0009615384615384616,0.002652519893899204,0.0014114326040931544,0.9,0.057823650639551714,0.13844428585992455,0.0815757699539259,30,1.0,5572,record
8,0.010643689812468323,0.045454545454545456,0.01724845995893224,0.9,0.1354829520654626,0.4777628359877513,0.21110204315393094,30,1.0,6096,record
8,0.007992477668077104,0.020656136087484813,0.01152542372881356,0.9,0.15555081843786994,0.354231651139251,0.21617464914796455,30,1.0,5176,record
8,0.008053691275167786,0.0297029702970297,0.012671594508975714,0.9,0.1390267236430895,0.4777120315581854,0.21537397490366567,30,1.0,5541,record
8,0.0,0.0,0.0,0.9,0.008571428571428572,0.09763570148563501,0.015759345739891486,30,1.0,5218,record
0,0.21620689655172415,0.7491039426523297,0.3355632860583356,0.1,0.1997900025252861,0.5047725383859838,0.2862726894007023,30,2.5,6122,record
0,0.41935483870967744,0.2820676451818762,0.33727584891262874,0.1,0.359106722028953,0.17495739969564703,0.23528402580771657,30,2.5,6391,record
0,0.3552758954501452,0.6152556580050293,0.4504449217551396,0.1,0.350102243354182,0.35823911597687624,0.35412394464490254,30,2.5,6100,record
0,0.3922187171398528,0.6464471403812825,0.48821989528795806,0.1,0.33196980839155127,0.4004571020224608,0.3630114228115585,30,2.5,6362,record
0,0.29850746268656714,0.700218818380744,0.4185742315238718,0.1,0.25976852052538035,0.46620507235101916,0.3336358321966428,30,2.5,6245,record
0,0.35891472868217056,0.47389969293756395,0.40846934274371416,0.1,0.26640645987073935,0.29139084294035295,0.27833911177150406,30,2.5,6537,record
1,0.23602734217933252,0.7013142174432497,0.35318892900120336,0.2,0.22315542521994136,0.4791175211343279,0.3044903686354433,30,3.0,6122,record
1,0.40455531453362253,0.23803446075303128,0.2997187625552431,0.2,0.3683913840016477,0.15483274254836388,0.21802912144843759,30,3.0,6391,record
1,0.37960829493087556,0.5523889354568315,0.4499829293274155,0.2,0.3862752289165319,0.3286847086509439,0.35516049055133125,30,3.0,6100,record
1,0.3977204559088182,0.574523396880416,0.4700460829493087,0.2,0.35074684164830816,0.36584178848866794,0.3581353274635147,30,3.0,6362,record
1,0.3047722342733189,0.6148796498905909,0.4075416968817985,0.2,0.27859516861219197,0.42778901509257816,0.33743664011585806,30,3.0,6245,record
1,0.3472727272727273,0.390992835209826,0.3678382282137699,0.2,0.2795877722037465,0.25719446220854864,0.2679240187252431,30,3.0,6537,record
2,0.1910344827586207,0.6618876941457587,0.29649451431629653,0.3,0.1997900025252861,0.5047725383859838,0.2862726894007023,30,2.5,6122,record
2,0.35009487666034156,0.2354818123803446,0.2815719191148417,0.3,0.359106722028953,0.17495739969564703,0.23528402580771657,30,2.5,6391,record
2,0.30493707647628265,0.5280804694048616,0.3866216630868364,0.3,0.350102243354182,0.35823911597687624,0.35412394464490254,30,2.5,6100,record
2,0.34279705573080965,0.5649913344887348,0.4267015706806283,0.3,0.33196980839155127,0.4004571020224608,0.3630114228115585,30,2.5,6362,record
2,0.2593283582089552,0.6083150984682714,0.36363636363636365,0.3,0.25976852052538035,0.46620507235101916,0.3336358321966428,30,2.5,6245,record
2,0.2868217054263566,0.37871033776867963,0.32642258491398324,0.3,0.26640645987073935,0.29139084294035295,0.27833911177150406,30,2.5,6537,record
3,0.15862068965517243,0.5495818399044206,0.24618678084024623,0.4,0.1997900025252861,0.5047725383859838,0.2862726894007023,30,2.5,6122,record
3,0.25521821631878555,0.17166560306317805,0.20526516596718808,0.4,0.359106722028953,0.17495739969564703,0.23528402580771657,30,2.5,6391,record
3,0.23475314617618587,0.4065381391450126,0.29763731205891375,0.4,0.350102243354182,0.35823911597687624,0.35412394464490254,30,2.5,6100,record
3,0.2870662460567823,0.4731369150779896,0.35732984293193715,0.4,0.33196980839155127,0.4004571020224608,0.3630114228115585,30,2.5,6362,record
3,0.22014925373134328,0.5164113785557987,0.30869849574885544,0.4,0.25976852052538035,0.46620507235101916,0.3336358321966428,30,2.5,6245,record
3,0.23255813953488372,0.3070624360286592,0.26466696074106744,0.4,0.26640645987073935,0.29139084294035295,0.27833911177150406,30,2.5,6537,record
4,0.10966057441253264,0.45161290322580644,0.17647058823529413,0.5,0.1745396427176347,0.532652221727852,0.2629242024610425,30,2.0,6122,record
4,0.17485898468976632,0.13848117421825143,0.15455840455840456,0.5,0.3399993767625933,0.19884546340930007,0.25093432688216555,30,2.0,6391,record
4,0.16705698672911787,0.35875943000838223,0.22796271637816243,0.5,0.31224032983329425,0.40177520847188825,0.3513940996574875,30,2.0,6100,record
4,0.1998149861239593,0.37435008665511266,0.2605548854041014,0.5,0.31163348503751603,0.4370129430100969,0.36382426025033143,30,2.0,6362,record
4,0.15091342335186655,0.41575492341356673,0.22144522144522144,0.5,0.23857685330042822,0.5053990975571806,0.3241409247626223,30,2.0,6245,record
4,0.17770491803278687,0.2773797338792221,0.21662669864108713,0.5,0.2543531687931395,0.3362946575176729,0.2896399782662092,30,2.0,6537,record
5,0.0777487670438062,0.3201911589008363,0.12511671335200744,0.6,0.1745396427176347,0.532652221727852,0.2629242024610425,30,2.0,6122,record
5,0.10233682514101532,0.08104658583280153,0.09045584045584047,0.6,0.3399993767625933,0.19884546340930007,0.25093432688216555,30,2.0,6391,record
5,0.09640905542544886,0.20704107292539817,0.13155792276964046,0.6,0.31224032983329425,0.40177520847188825,0.3513940996574875,30,2.0,6100,record
5,0.14431082331174838,0.2703639514731369,0.1881785283474065,0.6,0.31163348503751603,0.4370129430100969,0.36382426025033143,30,2.0,6362,record
5,0.10087370929308975,0.2778993435448578,0.148018648018648,0.6,0.23857685330042822,0.5053990975571806,0.3241409247626223,30,2.0,6245,record
5,0.11934426229508197,0.1862845445240532,0.14548361310951238,0.6,0.2543531687931395,0.3362946575176729,0.2896399782662092,30,2.0,6537,record
6,0.038679245283018866,0.24492234169653523,0.06680788658953885,0.7,0.11841582512571168,0.5980238249145812,0.1976872292540246,30,1.0,6122,record
6,0.05255878284923928,0.07275047862156987,0.061027837259100645,0.7,0.2711165165349095,0.2823511723057016,0.27661982015761316,30,1.0,6391,record
6,0.04936268829663963,0.1785414920368818,0.07734204793028322,0.7,0.2187639751967374,0.503018365989666,0.30491823105560784,30,1.0,6100,record
6,0.08231707317073171,0.2339688041594454,0.12178619756427606,0.7,0.24249956210954768,0.5373228113622502,0.3341800668957828,30,1.0,6362,record
6,0.05782137325761487,0.24507658643326038,0.09356725146198831,0.7,0.1801506654924918,0.6143146102380582,0.27860043537933393,30,1.0,6245,record
6,0.06389001213101496,0.1617195496417605,0.09159420289855072,0.7,0.20273497436922924,0.45559742122820057,0.28060454607148844,30,1.0,6537,record
7,0.022641509433962263,0.14336917562724014,0.03910705556460811,0.8,0.11841582512571168,0.5980238249145812,0.1976872292540246,30,1.0,6122,record
