,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation
0,0.2190366972477064,0.28851963746223563,0.24902216427640156,0.1,0.16587497925278408,0.15903338738766046,0.16238215165829106,10,3.0,A1501,record
0,0.5870698644421272,0.6401364411597499,0.6124558063638836,0.1,0.5760295492925528,0.3413987391489854,0.42871091794019267,10,3.0,A1063,record
0,0.26485568760611206,0.5324232081911263,0.3537414965986395,0.1,0.27788682115386976,0.22003399708596405,0.24559948391853284,10,3.0,A0007,record
0,0.18217641709608973,0.8561253561253561,0.30042489377655585,0.1,0.18815360311386886,0.5483573554297718,0.2801734611583258,10,3.0,A2060,record
0,0.5856164383561644,0.2181122448979592,0.31784386617100374,0.1,0.5907172995780591,0.10066587644679961,0.17201770814328854,10,3.0,A0054,record
0,0.18022747156605423,0.45879732739420936,0.25879396984924624,0.1,0.1692473527360345,0.23332371786466666,0.19618608719299985,10,3.0,A0057,record
1,0.1938073394495413,0.2552870090634441,0.22033898305084748,0.2,0.16587497925278408,0.15903338738766046,0.16238215165829106,10,3.0,A1501,record
1,0.5531803962460897,0.6031836270608301,0.5771008974707642,0.2,0.5760295492925528,0.3413987391489854,0.42871091794019267,10,3.0,A1063,record
1,0.2436332767402377,0.48976109215017066,0.3253968253968254,0.2,0.27788682115386976,0.22003399708596405,0.24559948391853284,10,3.0,A0007,record
1,0.1761139739314944,0.8276353276353277,0.2904273931517121,0.2,0.18815360311386886,0.5483573554297718,0.2801734611583258,10,3.0,A2060,record
1,0.5513698630136986,0.20535714285714285,0.29925650557620814,0.2,0.5907172995780591,0.10066587644679961,0.17201770814328854,10,3.0,A0054,record
1,0.16272965879265092,0.4142538975501114,0.2336683417085427,0.2,0.1692473527360345,0.23332371786466666,0.19618608719299985,10,3.0,A0057,record
2,0.16169724770642202,0.21299093655589124,0.18383311603650587,0.3,0.16587497925278408,0.15903338738766046,0.16238215165829106,10,3.0,A1501,record
