,precision,recall,f1,iou_th,lam3,threshold,record
0,0.6565040650406504,0.7314311594202898,0.6919451585261354,0.1,45,0.5,01-02-0002
1,0.6536585365853659,0.7282608695652174,0.6889460154241646,0.2,45,0.5,01-02-0002
2,0.6447154471544716,0.7182971014492754,0.6795201371036848,0.3,45,0.5,01-02-0002
3,0.6126016260162601,0.6825181159420289,0.6456726649528706,0.4,45,0.5,01-02-0002
4,0.5634146341463414,0.6277173913043478,0.5938303341902313,0.5,45,0.5,01-02-0002
5,0.4845528455284553,0.5398550724637681,0.5107112253641816,0.6,45,0.5,01-02-0002
6,0.36097560975609755,0.40217391304347827,0.38046272493573263,0.7,45,0.5,01-02-0002
7,0.21300813008130082,0.23731884057971014,0.22450728363324765,0.8,45,0.5,01-02-0002
8,0.06951219512195123,0.07744565217391304,0.07326478149100259,0.9,45,0.5,01-02-0002
0,0.6698113207547169,0.707427536231884,0.6881057268722467,0.1,46,0.5,01-02-0002
1,0.6672384219554031,0.7047101449275363,0.6854625550660792,0.2,46,0.5,01-02-0002
2,0.6565180102915952,0.6933876811594203,0.6744493392070485,0.3,46,0.5,01-02-0002
3,0.6265008576329331,0.6616847826086957,0.643612334801762,0.4,46,0.5,01-02-0002
4,0.5694682675814752,0.6014492753623188,0.585022026431718,0.5,46,0.5,01-02-0002
5,0.4862778730703259,0.5135869565217391,0.4995594713656387,0.6,46,0.5,01-02-0002
6,0.3632075471698113,0.3836050724637681,0.37312775330396475,0.7,46,0.5,01-02-0002
7,0.20969125214408232,0.22146739130434784,0.2154185022026432,0.8,46,0.5,01-02-0002
8,0.06432246998284734,0.06793478260869565,0.06607929515418502,0.9,46,0.5,01-02-0002
0,0.6795159121470192,0.6865942028985508,0.683036719981978,0.1,47,0.5,01-02-0002
1,0.6759300761990139,0.6829710144927537,0.679432304573102,0.2,47,0.5,01-02-0002
2,0.6656207978484985,0.6725543478260869,0.6690696102725839,0.3,47,0.5,01-02-0002
3,0.63334827431645,0.6399456521739131,0.6366298715927011,0.4,47,0.5,01-02-0002
4,0.5696996862393545,0.5756340579710145,0.5726514980851543,0.5,47,0.5,01-02-0002
5,0.4863290004482295,0.4913949275362319,0.48884883982879024,0.6,47,0.5,01-02-0002
6,0.3617212012550426,0.3654891304347826,0.3635954043703537,0.7,47,0.5,01-02-0002
7,0.20439264903630658,0.20652173913043478,0.20545167830592473,0.8,47,0.5,01-02-0002
8,0.06230389959659346,0.06295289855072464,0.06262671772921828,0.9,47,0.5,01-02-0002
0,0.6920170051960322,0.6634963768115942,0.6774566473988439,0.1,48,0.5,01-02-0002
1,0.6891828058573453,0.6607789855072463,0.6746820809248555,0.2,48,0.5,01-02-0002
2,0.6787907416154936,0.6508152173913043,0.6645086705202312,0.3,48,0.5,01-02-0002
3,0.6457250826641474,0.6191123188405797,0.6321387283236994,0.4,48,0.5,01-02-0002
4,0.5791213982050071,0.5552536231884058,0.5669364161849711,0.5,48,0.5,01-02-0002
5,0.4874822862541332,0.4673913043478261,0.4772254335260116,0.6,48,0.5,01-02-0002
6,0.35710911667453943,0.3423913043478261,0.34959537572254334,0.7,48,0.5,01-02-0002
7,0.19650448748228624,0.18840579710144928,0.19236994219653178,0.8,48,0.5,01-02-0002
8,0.06282475200755787,0.06023550724637681,0.0615028901734104,0.9,48,0.5,01-02-0002
0,0.23906976744186045,0.4269102990033223,0.3064997018485391,0.1,45,0.5,01-02-0003
1,0.23906976744186045,0.4269102990033223,0.3064997018485391,0.2,45,0.5,01-02-0003
2,0.23813953488372094,0.42524916943521596,0.30530709600477046,0.3,45,0.5,01-02-0003
3,0.22511627906976744,0.4019933554817276,0.28861061419200956,0.4,45,0.5,01-02-0003
4,0.20651162790697675,0.3687707641196013,0.26475849731663686,0.5,45,0.5,01-02-0003
5,0.16651162790697674,0.2973421926910299,0.21347644603458557,0.6,45,0.5,01-02-0003
6,0.1172093023255814,0.20930232558139536,0.15026833631484796,0.7,45,0.5,01-02-0003
7,0.06790697674418604,0.1212624584717608,0.08706022659511031,0.8,45,0.5,01-02-0003
8,0.017674418604651163,0.03156146179401993,0.022659511031604056,0.9,45,0.5,01-02-0003
0,0.24061597690086622,0.4152823920265781,0.3046922608165753,0.1,46,0.5,01-02-0003
1,0.24061597690086622,0.4152823920265781,0.3046922608165753,0.2,46,0.5,01-02-0003
2,0.2386910490856593,0.4119601328903654,0.3022547227300426,0.3,46,0.5,01-02-0003
3,0.2252165543792108,0.38870431893687707,0.2851919561243144,0.4,46,0.5,01-02-0003
4,0.20692974013474494,0.35714285714285715,0.2620353443022547,0.5,46,0.5,01-02-0003
5,0.16554379210779596,0.2857142857142857,0.20962827544180376,0.6,46,0.5,01-02-0003
6,0.11742059672762271,0.2026578073089701,0.14868982327848873,0.7,46,0.5,01-02-0003
7,0.06737247353224254,0.11627906976744186,0.08531383302864107,0.8,46,0.5,01-02-0003
8,0.015399422521655439,0.026578073089700997,0.019500304692260818,0.9,46,0.5,01-02-0003
0,0.23333333333333334,0.38372093023255816,0.29020100502512564,0.1,47,0.5,01-02-0003
1,0.23333333333333334,0.38372093023255816,0.29020100502512564,0.2,47,0.5,01-02-0003
2,0.2313131313131313,0.3803986710963455,0.28768844221105533,0.3,47,0.5,01-02-0003
3,0.21717171717171718,0.35714285714285715,0.27010050251256285,0.4,47,0.5,01-02-0003
4,0.19696969696969696,0.3239202657807309,0.2449748743718593,0.5,47,0.5,01-02-0003
5,0.15151515151515152,0.24916943521594684,0.1884422110552764,0.6,47,0.5,01-02-0003
6,0.1111111111111111,0.18272425249169436,0.13819095477386933,0.7,47,0.5,01-02-0003
7,0.0595959595959596,0.09800664451827243,0.07412060301507538,0.8,47,0.5,01-02-0003
8,0.01616161616161616,0.026578073089700997,0.020100502512562814,0.9,47,0.5,01-02-0003
0,0.23003194888178913,0.3588039867109635,0.2803374432186892,0.1,48,0.5,01-02-0003
1,0.23003194888178913,0.3588039867109635,0.2803374432186892,0.2,48,0.5,01-02-0003
2,0.22896698615548455,0.35714285714285715,0.2790395846852693,0.3,48,0.5,01-02-0003
3,0.2161874334398296,0.3372093023255814,0.263465282284231,0.4,48,0.5,01-02-0003
4,0.19169329073482427,0.29900332225913623,0.2336145360155743,0.5,48,0.5,01-02-0003
5,0.1501597444089457,0.23421926910299004,0.1829980532121999,0.6,48,0.5,01-02-0003
6,0.10756123535676251,0.16777408637873753,0.1310837118754056,0.7,48,0.5,01-02-0003
7,0.05750798722044728,0.08970099667774087,0.0700843608046723,0.8,48,0.5,01-02-0003
8,0.012779552715654952,0.019933554817275746,0.015574302401038288,0.9,48,0.5,01-02-0003
0,0.44015444015444016,0.3806343906510851,0.4082363473589973,0.1,45,0.5,01-02-0005
1,0.44015444015444016,0.3806343906510851,0.4082363473589973,0.2,45,0.5,01-02-0005
2,0.4372586872586873,0.3781302170283806,0.40555058191584603,0.3,45,0.5,01-02-0005
3,0.416988416988417,0.3606010016694491,0.386750223813787,0.4,45,0.5,01-02-0005
4,0.37258687258687256,0.32220367278797996,0.34556848701880033,0.5,45,0.5,01-02-0005
5,0.30694980694980695,0.2654424040066778,0.28469113697403764,0.6,45,0.5,01-02-0005
6,0.21525096525096524,0.18614357262103506,0.19964189794091317,0.7,45,0.5,01-02-0005
7,0.12355212355212356,0.10684474123539232,0.11459265890778873,0.8,45,0.5,01-02-0005
8,0.03667953667953668,0.03171953255425709,0.03401969561324978,0.9,45,0.5,01-02-0005
0,0.43451776649746193,0.3572621035058431,0.3921209344938159,0.1,46,0.5,01-02-0005
1,0.43451776649746193,0.3572621035058431,0.3921209344938159,0.2,46,0.5,01-02-0005
2,0.43248730964467,0.3555926544240401,0.3902885936784241,0.3,46,0.5,01-02-0005
3,0.40812182741116754,0.335559265442404,0.36830050389372426,0.4,46,0.5,01-02-0005
4,0.36852791878172586,0.3030050083472454,0.3325698579935868,0.5,46,0.5,01-02-0005
5,0.29644670050761424,0.24373956594323873,0.26752175904718273,0.6,46,0.5,01-02-0005
6,0.20710659898477157,0.17028380634390652,0.18689876316994963,0.7,46,0.5,01-02-0005
7,0.11370558375634518,0.09348914858096828,0.10261108566193312,0.8,46,0.5,01-02-0005
8,0.03553299492385787,0.02921535893155259,0.0320659642693541,0.9,46,0.5,01-02-0005
0,0.4339419978517723,0.337228714524207,0.37952090183184595,0.1,47,0.5,01-02-0005
1,0.4339419978517723,0.337228714524207,0.37952090183184595,0.2,47,0.5,01-02-0005
2,0.43071965628356607,0.3347245409015025,0.37670267731329266,0.3,47,0.5,01-02-0005
3,0.40494092373791624,0.31469115191986646,0.35415688116486616,0.4,47,0.5,01-02-0005
4,0.3576799140708915,0.27796327212020033,0.31282292155941754,0.5,47,0.5,01-02-0005
