,precision,recall,f1,IoU,by_sample_precision,by_sample_recall,by_sample_f1,lam3,threshold,record,evaluation,gold_standard
0,0.29245010124385307,0.9683908045977011,0.449233503665852,0.1,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
1,0.29216083309227653,0.9674329501915708,0.4487891579648967,0.2,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
2,0.291293028637547,0.9645593869731801,0.4474561208620307,0.3,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
3,0.2852183974544403,0.9444444444444444,0.43812486114196847,0.4,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
4,0.2687301128145791,0.8898467432950191,0.41279715618751384,0.5,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
5,0.22852183974544402,0.7567049808429118,0.35103310375472113,0.6,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
6,0.16575065085334104,0.5488505747126436,0.25461008664741164,0.7,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
7,0.09314434480763668,0.30842911877394635,0.14307931570762053,0.8,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
8,0.029505351460804165,0.09770114942528736,0.04532326149744501,0.9,0.25906759266146184,0.9353882847740297,0.4057559525102327,45,0.5,01-02-0001,record,E1
0,0.4006024096385542,0.8917624521072797,0.5528503562945368,0.1,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
1,0.3997418244406196,0.8898467432950191,0.5516627078384798,0.2,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
2,0.3984509466437177,0.8869731800766284,0.5498812351543944,0.3,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
3,0.39199655765920827,0.8726053639846744,0.5409738717339667,0.4,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
4,0.3756454388984509,0.8362068965517241,0.5184085510688835,0.5,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
5,0.3407917383820998,0.7586206896551724,0.4703087885985748,0.6,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
6,0.27710843373493976,0.6168582375478927,0.38242280285035635,0.7,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
7,0.18158347676419967,0.4042145593869732,0.2505938242280285,0.8,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
8,0.06282271944922548,0.13984674329501914,0.08669833729216152,0.9,0.3658999957959557,0.8319367128363154,0.5082589931258482,45,1.0,01-02-0001,record,E1
0,0.4706916764361079,0.7691570881226054,0.5840000000000001,0.1,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
1,0.46893317702227433,0.7662835249042146,0.5818181818181819,0.2,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
2,0.4671746776084408,0.7634099616858238,0.5796363636363636,0.3,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
3,0.4618991793669402,0.7547892720306514,0.5730909090909092,0.4,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
4,0.45076201641266117,0.7365900383141762,0.5592727272727273,0.5,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
5,0.41090269636576787,0.671455938697318,0.5098181818181818,0.6,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
6,0.34056271981242675,0.5565134099616859,0.4225454545454546,0.7,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
7,0.23270808909730364,0.38026819923371646,0.2887272727272727,0.8,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
8,0.07444314185228605,0.12164750957854406,0.09236363636363638,0.9,0.43346968001285474,0.6999003172551287,0.5353689744616402,45,1.5,01-02-0001,record,E1
0,0.5211480362537765,0.6609195402298851,0.5827702702702703,0.1,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
1,0.5196374622356495,0.6590038314176245,0.5810810810810811,0.2,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
2,0.5181268882175226,0.657088122605364,0.5793918918918919,0.3,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
3,0.513595166163142,0.6513409961685823,0.5743243243243242,0.4,0.4843031930766935,0.5909593667642252,0.5323416233237729,45,2.0,01-02-0001,record,E1
